camels_name - Name,,,,
lai_diff,difference between the maximum and mimumum monthly mean of the leaf area index (based on 12 monthly means),-,MODIS*,
gvf_max,maximum monthly mean of the green vegetation fraction (based on 12 monthly means),-,MODIS*,
gvf_diff,difference between the maximum and mimumum monthly mean of the green vegetation fraction (based on 12 monthly means),-,MODIS*,
dom_land_cover,dominant land cover type (Noah-modified 20-category IGBP-MODIS land cover),-,MODIS*,
dom_land_cover_frac,fraction of the catchment area associated with the dominant land cover,-,MODIS*,
root_depth_XX,root depth (percentiles XX = 50 and 99% extracted from a root depth distribution based on IGBP land cover),m,MODIS*,Eq. 2 and Table 2 in Zeng (2001)
,,,,
camels_soil - Soil characteristics - *: Only covers the top 1.5 m ,,,,
Attribute,Description,Unit,Data source,References
soil_depth_pelletier,depth to bedrock (maximum 50m),m,Pelletier et al. (2016),
soil_depth_statgso,"soil depth (maximum 1.5m, layers marked as water and bedrock were excluded)",m,Miller and White (1998) - STATSGO*,
soil_porosity,"volumetric porosity (saturated volumetric water content estimated using a multiple linear regression based on sand and clay fraction for the layers marked as USDA soil texture class and a default value [0.9] for layers marked as organic material, layers marked as water, bedrock and ""other"" were excluded)",-,Miller and White (1998) - STATSGO*,"Table 4 in Cosby et al. (1984), Lawrence and Slater (2008)"
soil_conductivity,"saturated hydraulic conductivity (estimated using a multiple linear regression based on sand and clay fraction for the layers marked as USDA soil texture class and a default value [36cm/hr] for layers marked as organic material, layers marked as water, bedrock and ""other"" were excluded)",cm/hr,Miller and White (1998) - STATSGO*,"Table 4 in Cosby et al. (1984), Lawrence and Slater (2008)"
max_water_content,"maximum water content (combination of porosity and soil_depth_statgso, layers marked as water, bedrock and ""other"" were excluded)",m,Miller and White (1998) - STATSGO*,
sand_frac,"sand fraction (of the soil material smaller than 2 mm, layers marked as oragnic material, water, bedrock and ""other"" were excluded)",%,Miller and White (1998) - STATSGO*,
silt_frac,"silt fraction (of the soil material smaller than 2 mm, layers marked as oragnic material, water, bedrock and ""other"" were excluded)",%,Miller and White (1998) - STATSGO*,
clay_frac,"clay fraction (of the soil material smaller than 2 mm, layers marked as oragnic material, water, bedrock and ""other"" were excluded)",%,Miller and White (1998) - STATSGO*,
water_frac,fraction of the top 1.5m marked as water (class 14 ),%,Miller and White (1998) - STATSGO*,
organic_frac,fraction of soil_depth_statsgo marked as organic material (class 13),%,Miller and White (1998) - STATSGO*,
other_frac,fraction of soil_depth_statsgo marked as other (class 16),%,Miller and White (1998) - STATSGO*,
,,,,
camels_geol - Geological characteristics,,,,
Attribute,Description,Unit,Data source,References
geol_class_1st,most common geologic class in the catchment,-,GLiM,Hartmann and Moosdorf (2012)
geol_class_1st_frac,fraction of the catchment area associated with its most common geologic class,-,GLiM,Hartmann and Moosdorf (2012)
geol_class_2nd,2nd most common geologic class in the catchment,-,GLiM,Hartmann and Moosdorf (2012)
geol_class_2nd_frac,fraction of the catchment area associated with its 2nd most common geologic class,-,GLiM,Hartmann and Moosdorf (2012)
carb_rocks_frac,"fraction of the catchment area characterized as ""Carbonate sedimentary rocks""",-,GLiM,Hartmann and Moosdorf (2012)
geol_porosity,subsurface porosity,-,GLHYMPS,Gleeson et al. (2014)
geol_permeability,subsurface permeability (log10),m2,GLHYMPS,Gleeson et al. (2014)
,,,,
